0.000000e+00 4.900500e-01 9.801000e-01 9.950000e-01 1.990000e+00
0.000000e+00 4.900500e-01 9.801633e-01 9.950036e-01 1.983666e+00
1.000120e-01 4.908420e-01 9.801177e-01 9.157991e-01 1.988231e+00
2.000240e-01 4.916391e-01 9.806178e-01 8.360864e-01 1.938221e+00
3.000360e-01 4.924029e-01 9.817948e-01 7.597069e-01 1.820516e+00
4.000480e-01 4.931128e-01 9.832470e-01 6.887155e-01 1.675296e+00
5.000600e-01 4.937630e-01 9.847267e-01 6.237029e-01 1.527327e+00
6.000719e-01 4.943544e-01 9.861336e-01 5.645604e-01 1.386638e+00
7.000839e-01 4.948908e-01 9.874343e-01 5.109177e-01 1.256566e+00
8.000959e-01 4.953767e-01 9.886225e-01 4.623278e-01 1.137747e+00
9.001079e-01 4.958166e-01 9.897022e-01 4.183411e-01 1.029777e+00
1.000120e+00 4.962147e-01 9.906810e-01 3.785321e-01 9.318974e-01
1.100132e+00 4.965749e-01 9.915674e-01 3.425083e-01 8.432574e-01
1.200144e+00 4.969009e-01 9.923698e-01 3.099116e-01 7.630228e-01
1.300156e+00 4.971958e-01 9.930959e-01 2.804167e-01 6.904119e-01
1.400168e+00 4.974627e-01 9.937529e-01 2.537286e-01 6.247065e-01
1.500180e+00 4.977042e-01 9.943475e-01 2.295804e-01 5.652525e-01
1.600192e+00 4.979227e-01 9.948854e-01 2.077305e-01 5.114560e-01
1.700204e+00 4.981204e-01 9.953722e-01 1.879601e-01 4.627792e-01
1.800216e+00 4.982993e-01 9.958126e-01 1.700713e-01 4.187350e-01
1.900228e+00 4.984611e-01 9.962112e-01 1.538850e-01 3.788826e-01
2.000240e+00 4.986076e-01 9.965718e-01 1.392393e-01 3.428231e-01
2.100252e+00 4.987401e-01 9.968980e-01 1.259874e-01 3.101954e-01
2.200264e+00 4.988600e-01 9.971933e-01 1.139967e-01 2.806731e-01
2.300276e+00 4.989685e-01 9.974604e-01 1.031473e-01 2.539605e-01
2.400288e+00 4.990667e-01 9.977021e-01 9.333039e-02 2.297902e-01
2.500300e+00 4.991555e-01 9.979208e-01 8.444782e-02 2.079203e-01
2.600312e+00 4.992359e-01 9.981187e-01 7.641063e-02 1.881318e-01
2.700324e+00 4.993086e-01 9.982977e-01 6.913837e-02 1.702266e-01
